#ddp(V)	delta(ddp)	t(s)	delta(t)
40	1	5	1
29	1	10	1
23	1	15	1
18.9	0.1	20	1
13.8	0.1	25	1
10.7	0.1	30	1
9.2	0.1	35	1
6.3	0.1	40	1
4.8	0.1	45	1
4.4	0.1	50	1
3.5	0.1	55	1
2.5	0.1	60	1
2.2	0.1	65	1
1.5	0.1	70	1
1.5	0.1	75	1
0.92	0.01	80	1
0.71	0.01	85	1
0.46	0.01	90	1
0.53	0.01	95	1
0.24	0.01	100	1
0.36	0.01	105	1
0.10	0.01	110	1
0.06	0.01	115	1
0.17	0.01	120	1
0.05	0.01	125	1
0.125	0.001	130	1
0.109	0.001	135	1
0.096	0.001	140	1
0.028	0.001	155	1
0.017	0.001	160	1
0.003	0.001	165	1
0.001	0.001	180	1



# valores de referência:
# tau = 20 s
# V0 = 50 V
